site_name,postcode,latitude,longitude
Acorn Medical Centre,UB10 9JN,51.542328,-0.451665
Acrefield Surgery,HA4 0QR,51.562227,-0.382288
Allendale Road Surgery,,,
Alperton Medical Centre,HA0 4JB,51.542878,-0.294196
Ashchurch Medical Centre,,,
Barlby Surgery,W10 6DZ,51.522364,-0.217194
Belgravia Surgery,SW1W 9PY,51.495005,-0.148535
Brampton Health Centre,NW9 9BY,51.586101,-0.277362
Brook Green Medical Centre,W6 7EG,51.495164,-0.220921
Bush Doctors,,,
Canberra Old Oak Surgery,W12 7FG,51.510846,-0.235197
Carlton Surgery,TW14 0AX,51.453337,-0.404576
Chestnut Practice,TW3 3LN,51.468263,-0.371733
Chiswick Family Practice E85130,,,
Chiswick Health Practice,W4 1RX,51.493563,-0.259879
Church End Medical Centre,NW10 9HP,51.547572,-0.253218
Church Lane Surgery,YO51 9BD,54.093564,-1.393648
Civic Medical Centre,CH63 7RX,53.350243,-3.004812
Crawford Street Surgery,W1H 2HJ,51.519323,-0.161199
Crosslands Surgery,UB2 5QY,51.491314,-0.373246
Cuckoo Lane Practice,,,
Earls Court Surgery,SW5 9JA,51.488721,-0.191873
Ellis Practice,HA9 9FX,51.563896,-0.276528
Fitzrovia Medical Centre,W1T 6EU,51.52236,-0.139929
Foreland Medical Centre,,,
Forty Willows Surgery,HA9 9HA,51.565788,-0.270656
Freuchen Medical Centre,NW10 4ST,51.534533,-0.242975
Gladstone Medical Centre,NW2 6JH,51.558733,-0.246096
Golborne Medical Centre E87742,,,
Golbourne Medical Centre,,,
Great Chapel Street Medical Centre,W1D 3HZ,51.514525,-0.131889
Greenford Road Medical Centre,,,
Grove Park Terrace Surgery,W4 3JL,51.48467,-0.27331
Guru Nanak Medical Centre,UB1 1EQ,51.511775,-0.387131
Half Penny Steps Health Care,,,
Hammersmith Surgery,W6 9DU,51.490967,-0.227048
Headstone Road Surgery,HA1 1PG,51.58377,-0.34089
High Street Surgery,S62 6LW,53.459642,-1.344031
Hillcrest Surgery,W3 9LA,51.508183,-0.27196
Holland Park Surgery,W8 7RX,51.501413,-0.194411
Honeypot Medical Centre,HA7 1JP,51.59699,-0.294522
Kensington Park Medical Centre,W14 8HW,51.497326,-0.208764
Kingfisher Practice,LU2 9SB,51.892339,-0.36944
Kings Road Surgery,HA2 9JJ,51.568984,-0.377372
Lancaster Gate Medical Centre,W2 3ET,51.511754,-0.183337
Mapesbury Medical Group,NW2 3PS,51.551499,-0.209448
Marylebone Health Centre,NW1 5LT,51.52284,-0.151514
Mayfair Medical Centre,W1K 5LS,51.513538,-0.150147
Meadow View Surgery,,,
Mount Medical Centre,TW13 6AJ,51.4406,-0.387768
Neasden Medical Centre,NW2 7SA,51.559617,-0.247476
New Surgery,,,
North End Medical Centre,W14 9PR,51.487802,-0.204053
North Hyde Practice,,,
Oldfield Family Practice,UB6 8RA,51.530436,-0.351047
Otterfield Medical Centre,UB7 8PE,51.514659,-0.470201
Oxford Drive Medical Centre,HA4 9EY,51.567742,-0.392986
Oxgate Gardens Surgery,NW2 6EA,51.564483,-0.227767
Park Medical Centre,PE1 2UF,52.581561,-0.238048
Perivale Medical Clinic,UB6 8HX,51.535112,-0.333907
Pimlico Health at The Marven Surgery,SW1V 3EB,51.48845,-0.137752
Pinn Medical Centre,,,
Premier Medical Centre,HA0 4UZ,51.549714,-0.306762
Preston Hill Surgery,HA3 9SN,51.580102,-0.288949
Preston Medical Centre,HA9 8JZ,51.564337,-0.292556
Preston Road Surgery,HA9 8LB,51.564911,-0.292419
Randolph Surgery,,,
Redwood Practice,TW3 2DY,51.461125,-0.359593
Roundwood Park Medical Centre,NW10 3RY,51.542838,-0.235502
Roxbourne Medical Centre,HA2 0UE,51.56732,-0.363104
Spring Grove Medical Practice,TW7 4HG,51.474357,-0.345828
St. Andrews Medical Centre,,,
St. George's Medical Center,,,
St. Margarets Practice,TW1 1NE,51.459402,-0.323034
St. Peter's Medical Centre,HA1 4BS,51.576534,-0.350678
Stanley Corner Medical Centre,HA0 4JF,51.544253,-0.296596
Sudbury Surgery,HA0 3HG,51.558198,-0.316373
The Chelsea Practice,SW3 5DD,51.486806,-0.166987
The Lilyville Surgery,SW6 4UL,51.47377,-0.199131
The Lonsdale Medical Centre,NW6 6RR,51.536899,-0.204456
The Practice Feltham,TW13 4GU,51.446367,-0.411065
The Practice Heart of Hounslow,TW3 3LN,51.468263,-0.371733
The Southall Medical Centre,,,
The Westway Surgery,W12 0PT,51.514207,-0.247606
The Willesden Medical Centre,NW10 2PT,51.547534,-0.233849
Townfield Doctors Surgery,UB3 3DZ,51.515844,-0.4112
Uxendon Crescent Surgery,HA9 8NL,51.566899,-0.294322
Victoria Medical Centre,NE31 1NU,54.973937,-1.521601
Walnut Way Surgery,,,
Warren Practice,,,
Wembley Park Drive Medical Centre,,,
West End Surgery,NG9 1EH,52.923882,-1.218396
Willesden Green Surgery,NW2 3UY,51.55376,-0.216211
Willow Tree Family Doctors,NW9 9AD,51.58934,-0.2652
Woodfield Road Medical Centre,W9 3XZ,51.52272,-0.197561
Yiewsley Family Practice,UB7 7DP,51.511901,-0.472426
