gp_id,gp_label,site_name,patient_count,rec_count,poor_pcg_count,poor_ecg_count,murmur_flag_count,low_ef_flag_count,af_flag_count,assigned_rec_count,assigned_poor_pcg_count,assigned_poor_ecg_count,assigned_murmur_flag_count,assigned_low_ef_flag_count,assigned_af_flag_count
1,GP-001,Crosslands Surgery,6,14,0,1,1,3,2,6,0,0,1,1,1
2,GP-002,Brook Green Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
3,GP-003,Allendale Road Surgery,2,2,0,0,0,0,0,2,0,0,0,0,0
4,GP-004,St. George's Medical Center,2,5,0,0,0,0,0,2,0,0,0,0,0
5,GP-005,Guru Nanak Medical Centre,0,1,0,0,0,0,0,0,0,0,0,0,0
6,GP-006,Bush Doctors,0,0,0,0,0,0,0,0,0,0,0,0,0
7,GP-007,Brampton Health Centre,1,67,1,3,3,10,0,1,0,0,0,0,0
8,GP-008,Canberra Old Oak Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
9,GP-009,Woodfield Road Medical Centre,0,1,0,0,0,0,0,0,0,0,0,0,0
10,GP-010,Willow Tree Family Doctors,2,3,0,0,0,0,0,2,0,0,0,0,0
11,GP-011,Ellis Practice,3,7,0,1,1,1,0,3,0,0,0,1,0
12,GP-012,Pinn Medical Centre,28,56,5,2,4,2,6,30,3,0,2,1,5
13,GP-013,Civic Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
14,GP-014,The Willesden Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
15,GP-015,New Surgery,65,134,1,11,14,13,2,65,0,0,2,2,0
16,GP-016,The Willesden Medical Centre,0,8,1,4,1,0,0,0,0,0,0,0,0
17,GP-017,Guru Nanak Medical Centre,13,14,0,0,0,1,0,13,0,0,0,1,0
18,GP-018,Foreland Medical Centre,4,7,0,1,0,0,0,6,0,0,0,0,0
19,GP-019,Hillcrest Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
20,GP-020,Golborne Medical Centre E87742,3,34,6,11,5,5,3,3,0,0,2,1,1
21,GP-021,Acrefield Surgery,0,1,0,0,0,0,0,0,0,0,0,0,0
22,GP-022,Gladstone Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
23,GP-023,Willow Tree Family Doctors,525,764,29,137,37,57,24,525,3,3,29,43,18
24,GP-024,Willow Tree Family Doctors,0,0,0,0,0,0,0,0,0,0,0,0,0
25,GP-025,Crosslands Surgery,7,53,3,0,4,7,6,7,1,0,1,1,1
26,GP-026,Fitzrovia Medical Centre,1,1,0,0,0,0,0,1,0,0,0,0,0
27,GP-027,Holland Park Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
28,GP-028,Wembley Park Drive Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
29,GP-029,Gladstone Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
30,GP-030,Warren Practice,0,0,0,0,0,0,0,0,0,0,0,0,0
31,GP-031,Church End Medical Centre,0,4,0,0,0,0,0,0,0,0,0,0,0
32,GP-032,Stanley Corner Medical Centre,0,4,0,0,0,0,0,0,0,0,0,0,0
33,GP-033,Church Lane Surgery,188,242,5,2,20,16,10,190,2,1,9,5,7
34,GP-034,Willow Tree Family Doctors,1003,1867,153,93,182,438,94,1005,16,0,36,118,37
35,GP-035,Townfield Doctors Surgery,4,4,1,0,0,0,0,4,1,0,0,0,0
36,GP-036,Civic Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
37,GP-037,Kensington Park Medical Centre,38,106,2,18,15,15,8,38,0,0,6,7,6
38,GP-038,Half Penny Steps Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0
39,GP-039,Willow Tree Family Doctors,0,0,0,0,0,0,0,0,0,0,0,0,0
40,GP-040,Brampton Health Centre,1,1,0,0,0,0,0,1,0,0,0,0,0
41,GP-041,Earls Court Surgery,4,13,6,1,0,2,0,4,3,0,0,1,0
42,GP-042,New Surgery,2,11,0,0,0,3,1,2,0,0,0,0,1
43,GP-043,The Lonsdale Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
44,GP-044,The Willesden Medical Centre,55,74,2,0,2,10,10,56,2,0,2,8,7
45,GP-045,Ellis Practice,0,0,0,0,0,0,0,0,0,0,0,0,0
46,GP-046,The Willesden Medical Centre,1,1,1,0,0,0,0,1,1,0,0,0,0
47,GP-047,Belgravia Surgery,0,1,0,0,0,0,0,0,0,0,0,0,0
48,GP-048,Half Penny Steps Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0
49,GP-049,Barlby Surgery,0,5,0,1,0,2,0,0,0,0,0,0,0
50,GP-050,Holland Park Surgery,4,30,0,9,4,6,2,5,0,0,1,2,2
51,GP-051,Bush Doctors,0,1,0,0,0,0,0,0,0,0,0,0,0
52,GP-052,Oldfield Family Practice,0,25,1,4,0,2,2,0,0,0,0,0,0
53,GP-053,Townfield Doctors Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
54,GP-054,Spring Grove Medical Practice,189,315,17,4,45,43,6,256,6,0,37,38,4
55,GP-055,The Lonsdale Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
56,GP-056,Bush Doctors,0,0,0,0,0,0,0,0,0,0,0,0,0
57,GP-057,Grove Park Terrace Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
58,GP-058,North Hyde Practice,0,0,0,0,0,0,0,0,0,0,0,0,0
59,GP-059,The Chelsea Practice,0,0,0,0,0,0,0,0,0,0,0,0,0
60,GP-060,Yiewsley Family Practice,0,0,0,0,0,0,0,0,0,0,0,0,0
61,GP-061,Townfield Doctors Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
62,GP-062,Oxgate Gardens Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
63,GP-063,The Practice Feltham,0,7,0,2,2,0,0,0,0,0,0,0,0
64,GP-064,Cuckoo Lane Practice,4,47,4,6,6,9,1,5,1,0,0,2,1
65,GP-065,Marylebone Health Centre,1,1,0,0,0,0,0,1,0,0,0,0,0
66,GP-066,Golborne Medical Centre E87742,2,28,1,2,0,5,0,2,0,0,0,0,0
67,GP-067,Civic Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
68,GP-068,Hammersmith Surgery,5,51,0,6,2,3,1,5,0,1,1,1,1
69,GP-069,Holland Park Surgery,0,10,0,3,2,2,2,0,0,0,0,0,0
70,GP-070,Headstone Road Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
71,GP-071,Headstone Road Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
72,GP-072,Greenford Road Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
73,GP-073,Stanley Corner Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
74,GP-074,Pinn Medical Centre,2,22,0,4,0,4,3,2,0,0,0,1,1
75,GP-075,Pinn Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
76,GP-076,Uxendon Crescent Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
77,GP-077,Belgravia Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
78,GP-078,The Lilyville Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
79,GP-079,Brook Green Medical Centre,0,1,0,0,0,0,0,0,0,0,0,0,0
80,GP-080,Lancaster Gate Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
81,GP-081,Church Lane Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
82,GP-082,Warren Practice,0,2,1,2,0,0,0,0,0,0,0,0,0
83,GP-083,Ellis Practice,0,0,0,0,0,0,0,0,0,0,0,0,0
84,GP-084,Hammersmith Surgery,1,12,0,2,2,1,3,1,0,0,0,1,1
85,GP-085,Hillcrest Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
86,GP-086,Foreland Medical Centre,9,66,3,8,7,10,3,9,0,0,1,3,0
87,GP-087,Kings Road Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
88,GP-088,The Lilyville Surgery,4,9,2,1,2,0,1,4,1,0,1,0,0
89,GP-089,The Willesden Medical Centre,1,160,10,49,10,15,14,1,1,0,0,0,0
90,GP-090,Mapesbury Medical Group,0,1,0,0,0,0,0,0,0,0,0,0,0
91,GP-091,Oxford Drive Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
92,GP-092,North End Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
93,GP-093,Willow Tree Family Doctors,60,65,0,4,4,9,0,60,0,0,4,8,0
94,GP-094,Preston Road Surgery,4,15,0,7,1,1,1,4,0,0,0,0,0
95,GP-095,Golborne Medical Centre E87742,0,2,0,0,0,0,0,0,0,0,0,0,0
96,GP-096,Oxford Drive Medical Centre,18,31,2,3,3,2,1,18,0,1,1,1,1
97,GP-097,Wembley Park Drive Medical Centre,1,1,0,0,0,0,0,1,0,0,0,0,0
